"","_id","iid","sv","sd","vtyp","sno","sna","sip","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","nbcnt","bemp","act"
"301","301","732","1","20150401100026","1","1106","民生公園","","42","0","板橋區","20151012003933","25.013087","121.475894","民生路一段/民生路一段30巷","Banqiao Dist.","Minsheng Park","Sec. 1, Minsheng Rd./Ln. 30, Sec. 1, Minsheng Rd.","0","0","0"
"302","302","733","1","20150401100153","1","1107","新北市政府","","40","0","板橋區","20151012003931","25.012374","121.464224","新府路1號對面人行道","Banqiao Dist.","New Taipei City Hall","No.1, Xinfu Rd. (opposite)","0","0","0"
"303","303","734","1","20150401100259","1","1108","捷運板橋站(1號出口)","","90","0","板橋區","20151012003930","25.013174","121.461900","縣民大道二段3號(秀泰影城門口)","Banqiao Dist.","MRT Banqiao Sta.(Exit.1)","No.3, Sec. 2, Xianmin Blvd.","0","0","0"
"304","304","736","1","20150408152744","1","1109","板橋地政事務所","","52","0","板橋區","20151012003915","25.007983","121.463387","實踐路5號對面","Banqiao Dist.","Banqiao Land Office","No.5, Shijian Rd. (opposite)","0","0","0"
"305","305","737","1","20150408152907","1","1110","板橋戶政事務所","","44","0","板橋區","20151012003913","25.012839","121.456308","中正路6號前人行道","Banqiao Dist.","Banqiao District Household Registration Office","No.6, Zhongzheng Rd.","0","0","0"
"306","306","738","1","20150408153135","1","1111","板橋和平公園","","40","0","板橋區","20151012003913","24.997679","121.464326","重慶路355號前廣場","Banqiao Dist.","Banqiao Heping Park","No.355, Chongqing Rd.","0","0","0"
"307","307","739","1","20150408153236","1","1112","碧華公園","","28","0","三重區","20151012003922","25.083741","121.487491","溪尾街303號(對面公園)","Sanchong Dist.","Bihua Park","No.303, Xiwei St. (opposite)","0","0","0"
"308","308","740","1","20150408153345","1","1113","五福里(五華街)","","52","0","三重區","20151012003926","25.081725","121.493902","五華街64號對面人行道(碧華國中旁)","Sanchong Dist.","Wufu Village (Wuhua St.)","No.64, Wuhua St. (opposite)","0","0","0"
"309","309","747","1","20150421102230","1","1114","同安公園","","40","0","三重區","20151012003926","25.057320","121.499067","正義南路/同安東街(正義南路側公園廣場)","Sanchong Dist.","Tong An Park","Zhengyi S. Rd./Tong’an E. St.","0","0","0"
"310","310","742","1","20150408153542","1","1115","中華里(中華路二段)","","38","0","新莊區","20151012003923","25.045951","121.453766","中華路2段31號對面","Xinzhuang Dist.","Zhonghua Village (Zhonghua Rd. Sec. 2 )","No.31, Sec. 2, Zhonghua Rd. (opposite)","0","0","0"
"311","311","743","1","20150408153631","1","1116","中華自治街口","","36","0","新莊區","20151012003929","25.047855","121.453202","中華路2段/自治街口人行道(中港大排東側)","Xinzhuang Dist.","Zhonghua & Zizhi Intersection","Sec. 2, Zhonghua Rd/Zizhi St.","0","0","0"
"312","312","744","1","20150410145339","1","1117","捷運府中站(3號出口)","","42","0","板橋區","20151012003923","25.008999","121.458776","府中路31號至53號對面","Banqiao Dist.","MRT Fuzhong Sta.(Exit.3)","","0","0","0"
"313","313","745","1","20150410145442","1","1118","捷運亞東醫院站(2號出口)","","52","0","板橋區","20151012003936","24.997830","121.452315","南雅南路二段122-23號‎前人行道","Banqiao Dist.","MRT Far Eastern Hospital Sta.(Exit.2)","No.122-23, Sec. 2, Nanya S. Rd.","0","0","0"
"314","314","746","1","20150410145627","1","1119","新泰公園","","42","0","新莊區","20151012003922","25.037200","121.444946","建中街116巷/建中街116巷3弄","Xinzhuang Dist.","Xintai Park","Ln. 116, Jianzhong St./Aly. 3, Ln. 116, Jianzhong St.","0","0","0"
"315","315","748","1","20150421102540","1","1120","上林里(環河東路一段)","","38","0","永和區","20151012003925","25.014999","121.520951","環河東路一段/竹林路75巷25弄","Yonghe Dist.","Shanglin Village (Huanhe E. Rd. Sec. 1 )","Sec. 1, Huanhe E. Rd./Aly. 25, Ln. 75, Zhulin Rd.","0","0","0"
"316","316","749","1","20150421102836","1","1121","進安公園","","34","0","三重區","20151012003931","25.086031","121.493774","仁義街258號至290號","Sanchong Dist.","Jinan Park","No.258 to No.290, Renyi St.","0","0","0"
"317","317","750","1","20150421103203","1","1122","自強溪尾街口","","40","0","三重區","20151012003915","25.078153","121.489894","自強路4段/溪尾街","Sanchong Dist.","Ziqiang & Xiwei Intersection","Sec. 4, Ziqiang Rd./Xiwei St.","0","0","0"
"318","318","760","1","20150507131218","1","1123","捷運三重國小站","","54","0","三重區","20151012003926","25.070418","121.497126","仁愛街/三和路3段11巷","Sanchong Dist.","MRT Sanchong Elementary School Sta.","Ren’ai St./Ln. 11, Sec. 3, Sanhe Rd.","0","0","0"
"319","319","752","1","20150421103813","1","1124","五堵火車站","","50","0","汐止區","20151012003915","25.077493","121.666869","鄉長路一段人行道側","Xizhi Dist.","Wudu Railway Station","Sec. 1, Xiangzhang Rd.","0","0","0"
"320","320","753","1","20150421104036","1","1125","捷運南勢角站1號出口","","70","0","中和區","20151012003915","24.990804","121.506978","捷運路131號至141號對面","Zhonghe Dist.","MRT Nanshijiao Sta.(Exit 1)","No.131 to No.141, Jieyun Rd.","0","0","0"
"321","321","754","1","20150421104240","1","1126","柳堤公園","","42","0","蘆洲區","20151012003937","25.087989","121.462192","長樂路125號對面公園通道","Luzhou Dist.","Liuti Park","No.125, Changle Rd. (opposite)","0","0","0"
"322","322","755","1","20150427123748","1","1127","新北市立圖書館總館","","36","0","板橋區","20151012003931","25.001583","121.455524","貴興路119巷","Banqiao Dist.","New Taipei City Library","Ln. 119, Guixing Rd.","0","0","0"
"323","323","756","1","20150504144102","1","1128","永福國小","","36","0","三重區","20151012003917","25.077714","121.480315","永福街/下竹圍街","Sanchong Dist.","Yongfu St./Xiazhuwei St.","Yongfu St./Xiazhuwei St.","0","0","0"
"324","324","757","1","20150504144523","1","1129","明志國小","","46","0","泰山區","20151012003927","25.045729","121.426269","明志路二段324號對面人行道","Taishan Dist.","Mingzhi Elementary School","No.324, Sec. 2, Mingzhi Rd. (opposite)","0","0","0"
"325","325","761","1","20150518132855","1","1131","臺北醫院","","36","0","新莊區","20151012003935","25.043536","121.459772","思源路131號至137號前人行道","Xinzhuang Dist.","Taipei Hospital","No.131 to No.137, Siyuan Rd.","0","0","0"
"326","326","762","1","20150518133050","1","1132","重新重安街口","","36","0","三重區","20151012003928","25.058443","121.489751","重新路三段/重安街","Sanchong Dist.","Chongxi & Chongan Intersection","Sec. 3, Chongxin Rd./Chong’an St.","0","0","0"
"327","327","763","1","20150518133303","1","1133","柴埕市民活動中心","","38","0","新店區","20151012003935","24.966775","121.516479","安民街/安民街65巷","Xindian Dist.","Chaicheng Civic Activity Center","Anmin St./Ln. 65, Anmin St.","0","0","0"
"328","328","764","1","20150518133624","1","1134","思賢國小","","52","0","新莊區","20151012003917","25.046446","121.457716","福樂街66號對面","Xinzhuang Dist.","Si Xian Elementary School","No.66, Fule St. (opposite)","0","0","0"
"329","329","765","1","20150518134117","1","1135","莊敬公園","","38","0","板橋區","20151012003917","25.020983","121.470821","萬板路/民生路二段","Banqiao Dist.","Zhuangjing Park","Wanban Rd./Sec. 2, Minsheng Rd.","0","0","0"
"330","330","767","1","20150520094316","1","1137","新海長江路口","","36","0","板橋區","20151012003922","25.02853","121.457367","長江路一段/新海路","Banqiao Dist.","Xinhai & Changjiang Intersection","Sec. 1, Changjiang Rd./Xinhai Rd.","0","0","0"
"331","331","769","1","20150525173725","1","1138","捷運新埔站(4號出口)","","50","0","板橋區","20151012003919","25.023491","121.468559","民生路二段250號前人行道","Banqiao Dist.","MRT Xinpu Sta.(Exit.4)","No.250, Sec. 2, Minsheng Rd.","0","0","0"
"332","332","770","1","20150525173848","1","1139","板橋仁愛公園","","34","0","板橋區","20151012003933","24.996430","121.459696","國慶路49巷23號對面","Banqiao Dist.","Banqiao Renai Park","Aly. 23, Ln. 49, Guoqing Rd. (opposite)","0","0","0"
"333","333","773","1","20150525175142","1","1142","光華東帝士","","40","0","新莊區","20151012003933","25.010795","121.427836","民安西路370號至376號前","Xinzhuang Dist.","Guanghua dongdishi","No.376 to No.376, Min’an W. Rd.","0","0","0"
"334","334","774","1","20150527091751","1","1143","廣福公園","","38","0","板橋區","20151012003936","24.991643","121.462872","廣權路/廣和街","Banqiao Dist.","Guangfu Park","Guangquan Rd./Guanghe St.","0","0","0"
"335","335","775","1","20150527091901","1","1144","板橋四維公園","","54","0","板橋區","20151012003929","25.025464","121.462633","陽明街251號至259號對面人行道","Banqiao Dist.","Banqiao Siwei Park","No.251 to No.259, Yangming St. (opposite)","0","0","0"
"336","336","776","1","20150528170729","1","1145","捷運頂埔站(2號出口)","","60","0","土城區","20151012003929","24.959276","121.419008","中央路四段74號至76號對面人行道","Tucheng Dist.","MRT Dingpu Sta.(Exit.2)","No.74 to No.76, Sec. 4, Zhongyang Rd. (opposite)","0","0","0"
"337","337","777","1","20150528170832","1","1146","龍門龍濱路口","","36","0","三重區","20151012003933","25.073475","121.500977","龍濱路192號對面","Sanchong Dist.","Longmen & Longbin Intersection","No.192, Longbin Rd. (opposite)","0","0","0"
"338","338","778","1","20150528170930","1","1147","青潭國小","","40","0","新店區","20151012003930","24.953101","121.551813","北宜路2段149號對面","Xindian Dist.","Qing-Tan Elementary School","No.149, Sec. 2, Beiyi Rd. (opposite)","0","0","0"
"339","339","779","1","20150528171026","1","1148","金城忠義路口","","34","0","土城區","20151012003932","24.969399","121.440808","金城路一段/忠義路","Tucheng Dist.","Jincheng Zhongyi Intersection","Sec. 1, Jincheng Rd./Zhongyi Rd.","0","0","0"
"340","340","780","1","20150528171404","1","1149","華德公園","","38","0","板橋區","20151012003915","24.991683","121.453320","四川路二段245巷60號對面","Banqiao Dist.","Huade Park","No.60, Ln. 245, Sec. 2, Sichuan Rd.","0","0","0"
"341","341","781","1","20150528171528","1","1150","橋東里(忠孝東路)","","40","0","汐止區","20151012003925","25.073682","121.666257","忠孝東路484號至488號前","Xizhi Dist.","Qiaodong Village (Zhongxiao E. Rd.)","No.484 to No.488, Zhongxiao E. Rd.","0","0","0"
"342","342","782","1","20150528171614","1","1151","中山國中","","38","0","板橋區","20151012003945","25.018559","121.467509","文化路一段188巷56號","Banqiao Dist.","Zhong Shan Junior High School","No.56, Ln. 188, Sec. 1, Wenhua Rd.","0","0","0"
"343","343","783","1","20150604103057","1","1152","捷運土城站(2號出口)","","52","0","土城區","20151012003937","24.972631","121.443563","金城路1段/和平路","Tucheng Dist.","MRT Tucheng Sta.(Exit 2)","Sec. 1, Jincheng Rd./Heping Rd.","0","0","0"
"344","344","784","1","20150604103209","1","1153","四川遠東路口","","48","0","板橋區","20151012003932","24.998003","121.457355","遠東路5號前人行道(四川路側)","Banqiao Dist.","Sichuan & Yuandong Intersection","No.5, Yuandong Rd.","0","0","0"
"345","345","785","1","20150604103307","1","1154","員林社區公園","","42","0","土城區","20151012003920","24.977883","121.443237","員林街12巷對面","Tucheng Dist.","Yuanlin Community Park","Ln. 12, Yuanlin St. (opposite)","0","0","0"
"346","346","786","1","20150604141416","1","1155","中正橋","","30","0","永和區","20151012003929","25.017757","121.516809","環河東路一段/光復街","Yonghe Dist.","Zhongzheng Bridge","Sec. 1, Huanhe E. Rd./Guangfu St.","0","0","0"
"347","347","787","1","20150605164412","1","1156","北港國小","","44","0","汐止區","20151012003913","25.089027","121.645946","汐萬路二段279號","Xizhi Dist.","Beigang Elementary School","No.279, Sec. 2, Xiwan Rd.","0","0","0"
"348","348","788","1","20150605164533","1","1157","捷運新店站","","54","0","新店區","20151012003929","24.958605","121.538659","中興路一段34號前(高架橋下停車場)","Xindian Dist.","MRT Xindian Sta.","No.34, Sec. 1, Zhongxing Rd.","0","0","0"
"349","349","790","1","20150611182248","1","1159","新樹公園","","32","0","新莊區","20151012003919","25.003383","121.433154","新樹路627號對面","Xinzhuang Dist.","Xinshu Park","No.627, Xinshu Rd. (opposite)","0","0","0"
"350","350","791","1","20150611182346","1","1160","中和環球購物中心","","40","0","中和區","20151012003922","25.006367","121.474223","中山路三段130號","Zhonghe Dist.","Zhonghe Global Mall","No.130, Sec. 3, Zhongshan Rd.","0","0","0"
"351","351","792","1","20150611182458","1","1161","楓樹腳公園","","36","0","泰山區","20151012003927","25.061938","121.434939","楓江路26巷26號前人行道","Taishan Dist.","Fengshujiao Park","No.26, Ln. 26, Fengjiang Rd.","0","0","0"
"352","352","795","1","20150615161546","1","1164","國光里(國光路)","","34","0","板橋區","20151012003938","25.017755","121.458308","國光路76號旁","Banqiao Dist.","Guoguang Village (Guoguang Rd.)","No.76, Guoguang Rd.","0","0","0"
"353","353","796","1","20150615161650","1","1165","民生長江路口","","36","0","板橋區","20151012003919","25.030904","121.463596","民生路三段/長江路一段(64高架橋下方)","Banqiao Dist.","Minsheng & Changjiang Intersection","Sec. 3, Minsheng Rd./Sec. 1, Changjiang Rd.","0","0","0"
"354","354","799","1","20150622122641","1","1166","華福市民活動中心","","36","0","中和區","20151012003937","24.995482","121.467525","民德路296號對面停車格位","Zhonghe Dist.","Huafu Civil Activity Center","No.296, Minde Rd. (opposite)","0","0","0"
"355","355","843","1","20150811080907","1","1167","浮洲合宜住宅(合安一路)","","34","0","板橋區","20151012003923","24.999329","121.446343","合安一路/大觀路二段153巷","Banqiao Dist.","Fujhou Appropriate House ( He-an 1st. Road )","1st Rd./Ln. 153, Sec. 2, Daguan Rd.","0","0","0"
"356","356","801","1","20150622122828","1","1168","建福公園","","38","0","新莊區","20151012003934","25.027694","121.426685","建福路/建福路49巷","Xinzhuang Dist.","Jianfu Park","Jianfu Rd./Ln. 49, Jianfu Rd.","0","0","0"
"357","357","803","1","20150622123106","1","1170","金城延和路口","","38","0","土城區","20151012003931","24.989155","121.470454","金城路三段/延和路(土城台電變電站)","Tucheng Dist.","Jincheng & Yanhe Intersection","Sec. 3, Jincheng Rd./Yanhe Rd.","0","0","0"
"358","358","804","1","20150626102630","1","1171","國光公園","","36","0","板橋區","20151012003926","25.019828","121.453852","中正路325巷/中正路341巷","Banqiao Dist.","Guoguang Park","Ln. 325, Zhongzheng Rd./Ln. 341, Zhongzheng Rd.","0","0","0"
"359","359","805","1","20150626102803","1","1172","樹林火車站(後站)","","52","0","樹林區","20151012003925","24.992553","121.424652","後站街6巷11號對面","Shulin Dist.","Shulin Railway Rear Station","No.11, Ln. 6, Houzhan St. (opposite)","0","0","0"
"360","360","806","1","20150626102957","1","1173","文林國小","","32","0","樹林區","20151012003932","24.997856","121.426360","千歲街59號","Shulin Dist.","Wenlin Elementary School","No.59, Qiansui St.","0","0","0"
"361","361","808","1","20150626103241","1","1175","板橋福德公園","","32","0","板橋區","20151012003923","25.011498","121.467415","新站路1號對面","Banqiao Dist.","Banqiao Fude Park","No.1, Xinzhan Rd. (opposite)","0","0","0"
"362","362","809","1","20150702115843","1","1176","光華公園","","32","0","樹林區","20151012003936","25.005412","121.413157","保安街2段259號對面","Shulin Dist.","Guanghua Park","No.259, Sec. 2, Bao’an St. (opposite)","0","0","0"
